187100 940.8 1.13845e+06 1.29541e+06 63062.2 771652 329939 417803 809222 183543 191050 175160 259718 159756 4031.6 173885 3215.4 3005.2 1.42746e+06 4672.2 
940.8 277104 1969.4 872233 587767 340941 737070 559997 405154 1.15955e+06 670186 840596 3726.4 318610 184593 571294 737129 235528 550506 233590 
1.13845e+06 1969.4 285934 9.55332e+06 752 220534 329956 8729 4160 188217 400965 656748 3641.8 180025 196798 443973 704173 138352 675318 364450 
1.29541e+06 872233 9.55332e+06 506558 680521 1348.2 761033 350819 6687.2 797222 1.49286e+06 201285 612947 2.66447e+07 288824 378460 421110 693074 1.70517e+06 550792 
63062.2 587767 752 680521 187974 1.03659e+06 549430 487245 727762 776768 328660 6747.8 239050 297722 534590 341833 1.0373e+06 455674 292789 9815.2 
771652 340941 220534 1348.2 1.03659e+06 115503 1.02885e+06 998550 919262 1.35716e+06 583702 8.3628e+06 877031 749415 4.86466e+06 1.09121e+06 527333 1.14772e+06 579818 185138 
329939 737070 329956 761033 549430 1.02885e+06 403751 862346 411096 649641 431965 308692 2.23044e+06 18544.2 298603 483300 635490 310893 1.17609e+06 821666 
417803 559997 8729 350819 487245 998550 862346 242826 273295 628177 4.52935e+06 169571 2.37529e+06 493595 138496 539957 278058 575396 749006 2792 
809222 405154 4160 6687.2 727762 919262 411096 273295 359357 333490 302024 161090 600418 219402 404 685210 1.03687e+06 614866 1.35371e+06 967689 
183543 1.15955e+06 188217 797222 776768 1.35716e+06 649641 628177 333490 642135 1.11572e+06 975226 390583 507101 30266.4 470816 794097 841375 1.61442e+06 1.03878e+06 
191050 670186 400965 1.49286e+06 328660 583702 431965 4.52935e+06 302024 1.11572e+06 262840 1.1863e+06 162804 237090 468543 714.8 209563 525712 605169 262274 
175160 840596 656748 201285 6747.8 8.3628e+06 308692 169571 161090 975226 1.1863e+06 316114 342387 593231 1.12627e+06 685390 157551 728.6 794338 183299 
259718 3726.4 3641.8 612947 239050 877031 2.23044e+06 2.37529e+06 600418 390583 162804 342387 607714 1.40603e+06 320630 849110 960355 206166 1.14787e+06 776921 
159756 318610 180025 2.66447e+07 297722 749415 18544.2 493595 219402 507101 237090 593231 1.40603e+06 178613 573844 273427 466197 430813 1.21378e+06 3066.6 
4031.6 184593 196798 288824 534590 4.86466e+06 298603 138496 404 30266.4 468543 1.12627e+06 320630 573844 700548 731564 918699 476522 466429 986 
173885 571294 443973 378460 341833 1.09121e+06 483300 539957 685210 470816 714.8 685390 849110 273427 731564 559097 2.02088e+06 236468 899905 228022 
3215.4 737129 704173 421110 1.0373e+06 527333 635490 278058 1.03687e+06 794097 209563 157551 960355 466197 918699 2.02088e+06 256551 771530 632979 969421 
3005.2 235528 138352 693074 455674 1.14772e+06 310893 575396 614866 841375 525712 728.6 206166 430813 476522 236468 771530 520378 1.60525e+06 180227 
1.42746e+06 550506 675318 1.70517e+06 292789 579818 1.17609e+06 749006 1.35371e+06 1.61442e+06 605169 794338 1.14787e+06 1.21378e+06 466429 899905 632979 1.60525e+06 232161 473707 
4672.2 233590 364450 550792 9815.2 185138 821666 2792 967689 1.03878e+06 262274 183299 776921 3066.6 986 228022 969421 180227 473707 549931 

